DATE,APU000072610
1988-12-01,0.078
1989-01-01,0.079
1989-02-01,0.079
1989-03-01,0.079
1989-04-01,0.079
1989-05-01,0.080
1989-06-01,0.086
1989-07-01,0.086
1989-08-01,0.086
1989-09-01,0.086
1989-10-01,0.081
1989-11-01,0.080
1989-12-01,0.081
1990-01-01,0.081
1990-02-01,0.081
1990-03-01,0.081
1990-04-01,0.082
1990-05-01,0.082
1990-06-01,0.088
1990-07-01,0.087
1990-08-01,0.087
1990-09-01,0.088
1990-10-01,0.083
1990-11-01,0.082
1990-12-01,0.082
1991-01-01,0.084
1991-02-01,0.084
1991-03-01,0.085
1991-04-01,0.084
1991-05-01,0.085
1991-06-01,0.090
1991-07-01,0.091
1991-08-01,0.090
1991-09-01,0.091
1991-10-01,0.087
1991-11-01,0.084
1991-12-01,0.085
1992-01-01,0.085
1992-02-01,0.084
1992-03-01,0.086
1992-04-01,0.086
1992-05-01,0.087
1992-06-01,0.092
1992-07-01,0.092
1992-08-01,0.091
1992-09-01,0.092
1992-10-01,0.088
1992-11-01,0.086
1992-12-01,0.088
1993-01-01,0.089
1993-02-01,0.087
1993-03-01,0.088
1993-04-01,0.088
1993-05-01,0.090
1993-06-01,0.094
1993-07-01,0.095
1993-08-01,0.097
1993-09-01,0.097
1993-10-01,0.093
1993-11-01,0.091
1993-12-01,0.090
1994-01-01,0.090
1994-02-01,0.090
1994-03-01,0.089
1994-04-01,0.088
1994-05-01,0.090
1994-06-01,0.095
1994-07-01,0.095
1994-08-01,0.096
1994-09-01,0.096
1994-10-01,0.093
1994-11-01,0.091
1994-12-01,0.091
1995-01-01,0.091
1995-02-01,0.091
1995-03-01,0.091
1995-04-01,0.090
1995-05-01,0.092
1995-06-01,0.098
1995-07-01,0.098
1995-08-01,0.098
1995-09-01,0.097
1995-10-01,0.094
1995-11-01,0.092
1995-12-01,0.091
1996-01-01,0.091
1996-02-01,0.091
1996-03-01,0.092
1996-04-01,0.092
1996-05-01,0.092
1996-06-01,0.096
1996-07-01,0.099
1996-08-01,0.099
1996-09-01,0.099
1996-10-01,0.095
1996-11-01,0.092
1996-12-01,0.092
1997-01-01,0.092
1997-02-01,0.092
1997-03-01,0.093
1997-04-01,0.092
1997-05-01,0.093
1997-06-01,0.099
1997-07-01,0.099
1997-08-01,0.098
1997-09-01,0.099
1997-10-01,0.093
1997-11-01,0.092
1997-12-01,0.090
1998-01-01,0.086
1998-02-01,0.085
1998-03-01,0.085
1998-04-01,0.085
1998-05-01,0.086
1998-06-01,0.091
1998-07-01,0.091
1998-08-01,0.090
1998-09-01,0.089
1998-10-01,0.086
1998-11-01,0.084
1998-12-01,0.084
1999-01-01,0.084
1999-02-01,0.084
1999-03-01,0.084
1999-04-01,0.084
1999-05-01,0.085
1999-06-01,0.089
1999-07-01,0.090
1999-08-01,0.089
1999-09-01,0.090
1999-10-01,0.087
1999-11-01,0.085
1999-12-01,0.085
2000-01-01,0.084
2000-02-01,0.085
2000-03-01,0.085
2000-04-01,0.085
2000-05-01,0.085
2000-06-01,0.090
2000-07-01,0.091
2000-08-01,0.091
2000-09-01,0.091
2000-10-01,0.088
2000-11-01,0.086
2000-12-01,0.086
2001-01-01,0.088
2001-02-01,0.088
2001-03-01,0.089
2001-04-01,0.089
2001-05-01,0.090
2001-06-01,0.097
2001-07-01,0.099
2001-08-01,0.098
2001-09-01,0.097
2001-10-01,0.093
2001-11-01,0.090
2001-12-01,0.090
2002-01-01,0.089
2002-02-01,0.089
2002-03-01,0.089
2002-04-01,0.088
2002-05-01,0.089
2002-06-01,0.095
2002-07-01,0.095
2002-08-01,0.095
2002-09-01,0.095
2002-10-01,0.091
2002-11-01,0.089
2002-12-01,0.089
2003-01-01,0.089
2003-02-01,0.089
2003-03-01,0.089
2003-04-01,0.091
2003-05-01,0.092
2003-06-01,0.097
2003-07-01,0.098
2003-08-01,0.098
2003-09-01,0.098
2003-10-01,0.093
2003-11-01,0.090
2003-12-01,0.090
2004-01-01,0.091
2004-02-01,0.091
2004-03-01,0.091
2004-04-01,0.091
2004-05-01,0.093
2004-06-01,0.099
2004-07-01,0.099
2004-08-01,0.100
2004-09-01,0.099
2004-10-01,0.094
2004-11-01,0.092
2004-12-01,0.092
2005-01-01,0.094
2005-02-01,0.094
2005-03-01,0.094
2005-04-01,0.095
2005-05-01,0.097
2005-06-01,0.104
2005-07-01,0.105
2005-08-01,0.105
2005-09-01,0.106
2005-10-01,0.102
2005-11-01,0.102
2005-12-01,0.102
2006-01-01,0.108
2006-02-01,0.108
2006-03-01,0.109
2006-04-01,0.109
2006-05-01,0.110
2006-06-01,0.118
2006-07-01,0.118
2006-08-01,0.118
2006-09-01,0.118
2006-10-01,0.112
2006-11-01,0.110
2006-12-01,0.110
2007-01-01,0.113
2007-02-01,0.113
2007-03-01,0.113
2007-04-01,0.113
2007-05-01,0.115
2007-06-01,0.122
2007-07-01,0.122
2007-08-01,0.121
2007-09-01,0.121
2007-10-01,0.117
2007-11-01,0.115
2007-12-01,0.115
2008-01-01,0.116
2008-02-01,0.116
2008-03-01,0.116
2008-04-01,0.118
2008-05-01,0.120
2008-06-01,0.128
2008-07-01,0.131
2008-08-01,0.132
2008-09-01,0.130
2008-10-01,0.126
2008-11-01,0.123
2008-12-01,0.124
2009-01-01,0.126
2009-02-01,0.126
2009-03-01,0.126
2009-04-01,0.125
2009-05-01,0.126
2009-06-01,0.132
2009-07-01,0.131
2009-08-01,0.130
2009-09-01,0.130
2009-10-01,0.126
2009-11-01,0.124
2009-12-01,0.124
2010-01-01,0.124
2010-02-01,0.123
2010-03-01,0.125
2010-04-01,0.126
2010-05-01,0.127
2010-06-01,0.132
2010-07-01,0.133
2010-08-01,0.133
2010-09-01,0.132
2010-10-01,0.127
2010-11-01,0.125
2010-12-01,0.125
2011-01-01,0.125
2011-02-01,0.125
2011-03-01,0.127
2011-04-01,0.127
2011-05-01,0.129
2011-06-01,0.134
2011-07-01,0.135
2011-08-01,0.135
2011-09-01,0.135
2011-10-01,0.130
2011-11-01,0.128
2011-12-01,0.127
2012-01-01,0.128
2012-02-01,0.128
2012-03-01,0.127
2012-04-01,0.127
2012-05-01,0.129
2012-06-01,0.135
2012-07-01,0.133
2012-08-01,0.133
2012-09-01,0.133
2012-10-01,0.128
2012-11-01,0.127
2012-12-01,0.127
2013-01-01,0.129
2013-02-01,0.129
2013-03-01,0.128
2013-04-01,0.128
2013-05-01,0.131
2013-06-01,0.137
2013-07-01,0.137
2013-08-01,0.137
2013-09-01,0.137
2013-10-01,0.132
2013-11-01,0.130
2013-12-01,0.131
2014-01-01,0.134
2014-02-01,0.134
2014-03-01,0.135
2014-04-01,0.131
2014-05-01,0.136
2014-06-01,0.143
2014-07-01,0.143
2014-08-01,0.143
2014-09-01,0.141
2014-10-01,0.136
2014-11-01,0.134
2014-12-01,0.135
2015-01-01,0.138
2015-02-01,0.138
2015-03-01,0.136
2015-04-01,0.137
2015-05-01,0.137
2015-06-01,0.143
2015-07-01,0.142
2015-08-01,0.142
2015-09-01,0.141
2015-10-01,0.136
2015-11-01,0.134
2015-12-01,0.133
2016-01-01,0.134
2016-02-01,0.134
2016-03-01,0.134
2016-04-01,0.134
2016-05-01,0.133
2016-06-01,0.138
2016-07-01,0.139
2016-08-01,0.139
2016-09-01,0.139
2016-10-01,0.134
2016-11-01,0.131
2016-12-01,0.133
2017-01-01,0.134
2017-02-01,0.135
2017-03-01,0.134
2017-04-01,0.135
2017-05-01,0.137
2017-06-01,0.142
2017-07-01,0.143
2017-08-01,0.142
2017-09-01,0.142
2017-10-01,0.137
2017-11-01,0.136
2017-12-01,0.136
2018-01-01,0.135
2018-02-01,0.135
2018-03-01,0.135
2018-04-01,0.134
2018-05-01,0.136
2018-06-01,0.139
2018-07-01,0.139
2018-08-01,0.139
2018-09-01,0.138
2018-10-01,0.136
2018-11-01,0.134
2018-12-01,0.135
2019-01-01,0.135
2019-02-01,0.136
2019-03-01,0.135
2019-04-01,0.135
2019-05-01,0.136
2019-06-01,0.139
2019-07-01,0.140
2019-08-01,0.139
2019-09-01,0.139
2019-10-01,0.136
2019-11-01,0.133
2019-12-01,0.133
2020-01-01,0.134
2020-02-01,0.134
2020-03-01,0.134
2020-04-01,0.133
2020-05-01,0.134
2020-06-01,0.137
2020-07-01,0.137
2020-08-01,0.137
2020-09-01,0.137
2020-10-01,0.135
2020-11-01,0.136
2020-12-01,0.136
2021-01-01,0.136
2021-02-01,0.137
2021-03-01,0.138
2021-04-01,0.139
2021-05-01,0.140
2021-06-01,0.142
2021-07-01,0.143
2021-08-01,0.144
2021-09-01,0.144
2021-10-01,0.142
2021-11-01,0.142
2021-12-01,0.142
2022-01-01,0.147
2022-02-01,0.148
2022-03-01,0.150
2022-04-01,0.151
2022-05-01,0.154
2022-06-01,0.160
2022-07-01,0.164
2022-08-01,0.167
2022-09-01,0.167
2022-10-01,0.166
2022-11-01,0.163
2022-12-01,0.165
2023-01-01,0.168
2023-02-01,0.168
2023-03-01,0.166
